GameId,Period,Jam,Team,PlayerId,Position,Box,Penalties,PostPassBox,PostPassPenalties,PassOccurred
1004,2,7,Charter Team,19,Blocker2,,0,,0,FALSE
1004,2,7,Charter Team,27,Blocker3,,0,,0,FALSE
1004,2,7,Thunder,1,Blocker2,,0,,0,TRUE
1004,2,7,Thunder,2,Jammer,$,0,,0,TRUE
1004,2,7,Thunder,5,Blocker3,,0,,0,TRUE
1004,2,7,Thunder,6,Pivot,,0,,0,TRUE
1004,2,7,Thunder,7,Blocker1,,0,,0,TRUE
1004,2,8,Charter Team,14,Blocker1,,0,,0,FALSE
1004,2,8,Charter Team,22,Jammer,,0,,0,FALSE
1004,2,8,Charter Team,24,Pivot,,0,,0,FALSE
1004,2,8,Charter Team,25,Blocker2,,0,,0,FALSE
1004,2,8,Charter Team,27,Blocker3,X,1,,0,FALSE
1004,2,8,Thunder,2,Blocker3,,0,,0,FALSE
1004,2,8,Thunder,8,Jammer,,0,,0,FALSE
1004,2,8,Thunder,9,Blocker2,X,1,,0,FALSE
1004,2,8,Thunder,11,Pivot,,0,,0,FALSE
1004,2,8,Thunder,28,Blocker1,/,1,,0,FALSE
1004,2,9,Charter Team,14,Blocker3,,0,,0,FALSE
1004,2,9,Charter Team,15,Pivot,,0,,0,FALSE
1004,2,9,Charter Team,16,Blocker2,,0,,0,FALSE
1004,2,9,Charter Team,18,Jammer,,0,,0,FALSE
1004,2,9,Charter Team,23,Blocker1,,0,,0,FALSE
1004,2,9,Thunder,1,Blocker2,,0,,0,FALSE
1004,2,9,Thunder,5,Pivot,,0,,0,FALSE
1004,2,9,Thunder,6,Jammer,/,1,,0,FALSE
1004,2,9,Thunder,7,Blocker3,,0,,0,FALSE
1004,2,9,Thunder,28,Blocker1,$,0,,0,FALSE
1004,2,10,Charter Team,15,Pivot,,0,,0,FALSE
1004,2,10,Charter Team,16,Blocker2,,0,,0,FALSE
1004,2,10,Charter Team,21,Jammer,,0,,0,FALSE
1004,2,10,Charter Team,23,Blocker1,X,1,,0,FALSE
1004,2,10,Charter Team,27,Blocker3,X,1,,0,FALSE
1004,2,10,Thunder,2,Blocker2,,0,,0,FALSE
1004,2,10,Thunder,6,Jammer,$,0,,0,FALSE
1004,2,10,Thunder,9,Blocker3,,0,,0,FALSE
1004,2,10,Thunder,10,Blocker1,,0,,0,FALSE
1004,2,10,Thunder,11,Pivot,,0,,0,FALSE
1004,2,11,Charter Team,15,Pivot,,0,,0,FALSE
1004,2,11,Charter Team,18,Jammer,,0,,0,FALSE
1004,2,11,Charter Team,19,Blocker2,,0,,0,FALSE
1004,2,11,Charter Team,22,Blocker1,,0,,0,FALSE
1004,2,11,Charter Team,27,Blocker3,,0,,0,FALSE
1004,2,11,Thunder,3,Blocker2,,0,,0,FALSE
1004,2,11,Thunder,5,Pivot,,0,,0,FALSE
1004,2,11,Thunder,7,Blocker1,,0,,0,FALSE
1004,2,11,Thunder,8,Jammer,,0,,0,FALSE
1004,2,11,Thunder,13,Blocker3,,0,,0,FALSE
1004,2,12,Charter Team,17,Blocker3,,0,,0,FALSE
1004,2,12,Charter Team,21,Pivot,,0,,0,FALSE
1004,2,12,Charter Team,22,Blocker1,,0,,0,FALSE
1004,2,12,Charter Team,24,Jammer,,0,,0,FALSE
1004,2,12,Charter Team,25,Blocker2,,0,,0,FALSE
1004,2,12,Thunder,2,Pivot,,0,,0,FALSE
1004,2,12,Thunder,6,Jammer,,0,,0,FALSE
1004,2,12,Thunder,9,Blocker3,,0,,0,FALSE
1004,2,12,Thunder,11,Blocker1,,0,,0,FALSE
1004,2,12,Thunder,28,Blocker2,,0,,0,FALSE
1004,2,13,Charter Team,15,Jammer,,0,,0,FALSE
1004,2,13,Charter Team,17,Blocker3,,0,,0,FALSE
1004,2,13,Charter Team,18,Pivot,,0,,0,FALSE
1004,2,13,Charter Team,19,Blocker2,,0,,0,FALSE
1004,2,13,Charter Team,27,Blocker1,,0,,0,FALSE
1004,2,13,Thunder,1,Blocker2,,0,,0,FALSE
1004,2,13,Thunder,5,Pivot,,0,,0,FALSE
1004,2,13,Thunder,7,Blocker1,,0,,0,FALSE
1004,2,13,Thunder,8,Jammer,X/,2,,0,FALSE
1004,2,13,Thunder,13,Blocker3,,0,,0,FALSE
1004,2,14,Charter Team,16,Blocker1,/,1,,0,FALSE
1004,2,14,Charter Team,21,Jammer,,0,,0,FALSE
1004,2,14,Charter Team,24,Pivot,,0,,0,FALSE
1004,2,14,Charter Team,26,Blocker2,,0,,0,FALSE
1004,2,14,Charter Team,27,Blocker3,X,1,,0,FALSE
1004,2,14,Thunder,2,Blocker1,X,1,,0,FALSE
1004,2,14,Thunder,6,Pivot,,0,,0,FALSE
1004,2,14,Thunder,8,Jammer,$,0,,0,FALSE
1004,2,14,Thunder,9,Blocker2,,0,,0,FALSE
1004,2,14,Thunder,11,Blocker3,,0,,0,FALSE
1004,2,15,Charter Team,16,Blocker1,$,0,,0,FALSE
1004,2,15,Charter Team,18,Jammer,,0,,0,FALSE
1004,2,15,Charter Team,20,Blocker2,,0,,0,FALSE
1004,2,15,Charter Team,22,Blocker3,,0,,0,FALSE
1004,2,15,Charter Team,24,Pivot,,0,,0,FALSE
1004,2,15,Thunder,1,Blocker2,,0,,0,FALSE
1004,2,15,Thunder,3,Blocker1,,0,,0,FALSE
1004,2,15,Thunder,5,Jammer,,0,,0,FALSE
1004,2,15,Thunder,7,Pivot,,0,,0,FALSE
1004,2,15,Thunder,13,Blocker3,/,1,,0,FALSE
1004,2,16,Charter Team,15,Pivot,,0,,0,FALSE
1004,2,16,Charter Team,17,Blocker3,/,1,,0,FALSE
1004,2,16,Charter Team,19,Blocker2,/,1,,0,FALSE
1004,2,16,Charter Team,20,Blocker1,,0,,0,FALSE
1004,2,16,Charter Team,21,Jammer,,0,,0,FALSE
1004,2,16,Thunder,2,Pivot,,0,,0,TRUE
1004,2,16,Thunder,6,Jammer,,0,,0,TRUE
1004,2,16,Thunder,9,Blocker1,,0,,0,TRUE
1004,2,16,Thunder,11,Blocker2,,0,,0,TRUE
1004,2,16,Thunder,13,Blocker3,$,0,,0,TRUE
1004,2,17,Charter Team,15,Pivot,,0,,0,TRUE
1004,2,17,Charter Team,17,Blocker3,$,0,,0,TRUE
1004,2,17,Charter Team,19,Blocker2,$,0,,0,TRUE
1004,2,17,Charter Team,22,Blocker1,X/,2,,0,TRUE
1004,2,17,Charter Team,23,Jammer,,0,,0,TRUE
1004,2,17,Thunder,2,Blocker2,/,1,,0,FALSE
1004,2,17,Thunder,5,Jammer,,0,,0,FALSE
1004,2,17,Thunder,7,Blocker3,/,1,,0,FALSE
1004,2,17,Thunder,8,Pivot,,0,,0,FALSE
1004,2,17,Thunder,11,Blocker1,X,1,,0,FALSE
